Letter,Size,Oz,price in dollars
A,1lb. 1.8oz.,17.8,16.69
B,1lb 8.3oz,24.3,22.78
C,1lb 1oz,17,15.94
D,1lb. 5.1oz,21.1,19.78
E,1lb. 0.5oz,16.5,15.47
F,1lb. 3.9oz.,19.9,18.66
G,1lb.,16,15
H,1lb. 12.4oz,28.4,26.63
I,1lb. 7oz,22,20.63
J,1lb. 1.2oz,17.2,16.13
K,1lb. 9oz,25,23.44
L,1lb. 5oz,21,19.69
M,1lb. 5.6oz,21.6,20.25
N,1lb. 8oz,23,21.56
O,1lb. 13.1oz.,29.1,27.28
P,1lb 11.8oz,27.8,26.06
Q,1lb. 13.2oz,29.2,27.38
R,1lb. 7oz,22,20.63
S,1lb.  6oz,22,20.63
U,1lb 8oz,24,22.5
V,1lb 8.8oz,24.8,23.25
W,1lb. 9.4oz,27.4,25.69
X,1lb. 10.6oz,26.6,24.94
Y,1lb. 10.5oz,26.5,24.84
Z,1lb. 12.5oz,28.5,26.72
AA,1lb. 14.5oz,30.5,28.59
BB,1lb. 8.1oz,24.1,22.59
CC,1lb. 13.5oz,29.5,27.66
DD,1lb. 6.9oz.,26.9,25.22
EE,1lb.,16,15
FF,1lb. 5.8oz.,21.8,20.44
GG,1lb. 6.8oz.,22.8,21.38
HH,1lb 4.4oz.,20.4,19.13
II,1lb 9.4oz.,25.4,23.81
JJ,1lb 4.5oz,20.5,19.22
KK,1lb. 14.8oz,30,28.13
LL,1lb 12.5oz.,28.5,26.72
MM,1lb 13.2oz,29.2,27.38
NN,1lb 12.8oz,28.8,27
OO,1lb. 8.6oz,24.6,23.06
PP,1lb. 4.5oz.,20.5,19.22
QQ,1lb. 4.3oz.,20.3,19.03
RR,1lb. 1.8oz.,17.8,16.69
SS,1lb. 12oz.,28,26.25
TT,1lb. 13oz.,29,27.19
UU,1lb. 7.4oz,23.4,21.94
VV,1lb. 10.7oz.,26.7,25.03
WW,2lb. 1.3oz.,33.3,31.22
XX,1lb. 2.7oz.,18.7,17.53
YY,1lb. 9oz.,25,23.55
ZZ,1lb. 8.8oz.,24.8,23.25
AAA,1lb 15.5oz,31.5,29.53
BBB,1lb 13.2oz,29.2,27.38
CCC,1lb 15.7oz,31.7,29.72
DDD,1lb. 6.7 oz,22.7,21.28
EEE,1lb. 3 oz,19,17.81
FFF,2lb. 0.9oz.,32.9,30.84
GGG,1lb 10.8oz,26.8,25.13
HHH,1lb 11.1oz,27.1,25.41
III,1lb 9.3oz,25.3,23.72
JJJ,1lb. 10.3 oz,26.3,24.66
KKKK,1lb. 14oz,30,28.13
LLL,1lb. 5.7oz,21.7,20.34
MMM,1lb. 12.3oz,28.3,26.53
NNN,1lb. 6.9oz.,26.9,25.22
OOO,1lb. 10.9oz.,26.9,25.22
PPP,1lb. 10.3oz.,26.3,24.66
QQQ,1lb. 2.6oz.,18.6,17.44
RRR,1lb 10.4oz.,26.4,24.75
SSS,1lb 11.8oz,27.8,26.06
TTT,1lb 9.2oz,25.2,23.63
UUU,1lb. 2.7oz.,18.7,17.53
VVV,2lb 0.9oz,32.9,30.84
WWW,1lb 5.1oz,21.1,19.78
XXX,15.2oz,15.2,14.25
YYY,2lb.,32,30
ZZZ,13.6 oz,13.6,12.75
AAAA,1lb. 5.7oz,21.7,20.34
BBBB,14oz.,14,13.13
CCCC,14oz.,14,13.13
DDDD,15.2oz.,15.2,14.25
EEEE,2lb. 0.2oz.,32.2,30.19
FFFF,1lb 13.4oz,29.4,27.56
GGGG,1lb 15.2oz,31.2,29.25
HHHH,1lb 5.4 oz,21.4,20.06
IIII,1lb 9.6oz,25.6,24
JJJJ,1lb. 5.5oz,21.5,20.16
LLLL,1lb. 15.7oz,31.7,29.72
