DATE,DEXUSUK
10/28/2011,1.6019
11/4/2011,1.6009
11/11/2011,1.5998
11/18/2011,1.5814
11/25/2011,1.5572
12/2/2011,1.5632
12/9/2011,1.5647
12/16/2011,1.5514
12/23/2011,1.5633
12/30/2011,1.5518
1/6/2012,1.5551
1/13/2012,1.5375
1/20/2012,1.5448
1/27/2012,1.5634
2/3/2012,1.5777
2/10/2012,1.5826
2/17/2012,1.5758
2/24/2012,1.5761
3/2/2012,1.5898
3/9/2012,1.5767
3/16/2012,1.571
3/23/2012,1.5854
3/30/2012,1.5932
4/6/2012,1.5913
4/13/2012,1.5879
4/20/2012,1.5999
4/27/2012,1.6162
5/4/2012,1.6194
5/11/2012,1.6144
5/18/2012,1.5937
5/25/2012,1.572
6/1/2012,1.5488
6/8/2012,1.544
6/15/2012,1.5564
6/22/2012,1.5672
6/29/2012,1.5583
7/6/2012,1.5598
7/13/2012,1.5504
7/20/2012,1.5647
7/27/2012,1.5585
8/3/2012,1.5625
8/10/2012,1.5649
8/17/2012,1.5701
8/24/2012,1.5798
8/31/2012,1.5825
9/7/2012,1.5934
9/14/2012,1.6112
9/21/2012,1.6236
9/28/2012,1.6185
10/5/2012,1.6153
10/12/2012,1.6024
10/19/2012,1.6096
10/26/2012,1.6038
11/2/2012,1.6079
11/9/2012,1.5966
11/16/2012,1.5866
11/23/2012,1.5951
11/30/2012,1.6018
12/7/2012,1.608
12/14/2012,1.6114
12/21/2012,1.6234
12/28/2012,1.6124
1/4/2013,1.6176
1/11/2013,1.6079
1/18/2013,1.6008
1/25/2013,1.5825
2/1/2013,1.5766
2/8/2013,1.5714
2/15/2013,1.5577
2/22/2013,1.5313
3/1/2013,1.5119
3/8/2013,1.5035
3/15/2013,1.4973
3/22/2013,1.5157
3/29/2013,1.5166
4/5/2013,1.5204
4/12/2013,1.5333
4/19/2013,1.5285
4/26/2013,1.534
5/3/2013,1.5539
5/10/2013,1.5481
5/17/2013,1.5244
5/24/2013,1.5135
5/31/2013,1.5144
6/7/2013,1.5441
6/14/2013,1.5645
6/21/2013,1.5567
6/28/2013,1.532
7/5/2013,1.5148
7/12/2013,1.4988
7/19/2013,1.5169
7/26/2013,1.5358
8/2/2013,1.524
8/9/2013,1.5458
8/16/2013,1.553
8/23/2013,1.5636
8/30/2013,1.5514
9/6/2013,1.5603
9/13/2013,1.5788
9/20/2013,1.5971
9/27/2013,1.606
10/4/2013,1.617
10/11/2013,1.6007
10/18/2013,1.6057
10/25/2013,1.6177
11/1/2013,1.6052
11/8/2013,1.6028
11/15/2013,1.6033
11/22/2013,1.6147
11/29/2013,1.6243
12/6/2013,1.6358
12/13/2013,1.6367
12/20/2013,1.6338
12/27/2013,1.6411
1/3/2014,1.649
1/10/2014,1.6445
1/17/2014,1.6394
1/24/2014,1.6536
1/31/2014,1.6533
2/7/2014,1.6331
2/14/2014,1.6569
2/21/2014,1.6671
2/28/2014,1.6686
3/7/2014,1.6715
3/14/2014,1.6635
3/21/2014,1.6571
3/28/2014,1.6566
4/4/2014,1.6625
4/11/2014,1.6725
4/18/2014,1.6772
4/25/2014,1.68
5/2/2014,1.6858
5/9/2014,1.6921
5/16/2014,1.6822
5/23/2014,1.6844
5/30/2014,1.6748
6/6/2014,1.6769
6/13/2014,1.683
6/20/2014,1.6993
6/27/2014,1.7
7/4/2014,1.7142
7/11/2014,1.7123
7/18/2014,1.7106
7/25/2014,1.7023
8/1/2014,1.6911
8/8/2014,1.6835
8/15/2014,1.6734
8/22/2014,1.6627
8/29/2014,1.6578
9/5/2014,1.6404
9/12/2014,1.6166
9/19/2014,1.631
9/26/2014,1.6324
10/3/2014,1.616
10/10/2014,1.6068
10/17/2014,1.601
10/24/2014,1.6095
10/31/2014,1.6092
11/7/2014,1.5933
11/14/2014,1.5762
11/21/2014,1.5664
11/28/2014,1.571
12/5/2014,1.568
12/12/2014,1.569
12/19/2014,1.5664
12/26/2014,1.5561
1/2/2015,1.5509
1/9/2015,1.515
1/16/2015,1.5172
1/23/2015,1.5089
1/30/2015,1.5104
2/6/2015,1.5181
2/13/2015,1.5295
2/20/2015,1.5404
2/27/2015,1.5452
3/6/2015,1.5264
3/13/2015,1.4958
3/20/2015,1.4776
3/27/2015,1.4889
4/3/2015,1.4845
4/10/2015,1.4825
4/17/2015,1.4819
4/24/2015,1.5021
5/1/2015,1.5303
5/8/2015,1.5244
5/15/2015,1.5713
5/22/2015,1.558
5/29/2015,1.5325
6/5/2015,1.5301
6/12/2015,1.5455
6/19/2015,1.5736
6/26/2015,1.5744
7/3/2015,1.5681
7/10/2015,1.5459
7/17/2015,1.559
7/24/2015,1.556
7/31/2015,1.561
8/7/2015,1.5561
8/14/2015,1.5595
8/21/2015,1.5657
8/28/2015,1.5539
9/4/2015,1.5293
9/11/2015,1.5407
9/18/2015,1.5471
9/25/2015,1.5306
10/2/2015,1.5174
10/9/2015,1.5268
10/16/2015,1.5401
10/23/2015,1.5429
10/30/2015,1.5347
11/6/2015,1.5303
11/13/2015,1.5162
11/20/2015,1.5231
11/27/2015,1.5083
12/4/2015,1.5047
12/11/2015,1.5127
12/18/2015,1.4995
12/25/2015,1.4881
1/1/2016,1.4814
1/8/2016,1.4616
1/15/2016,1.4427
1/22/2016,1.4211
1/29/2016,1.4277
2/5/2016,1.4478
2/12/2016,1.4454
2/19/2016,1.4321
2/26/2016,1.3987
3/4/2016,1.4062
3/11/2016,1.429
3/18/2016,1.4319
3/25/2016,1.4201
4/1/2016,1.4301
4/8/2016,1.4155
4/15/2016,1.4214
4/22/2016,1.4355
4/29/2016,1.4573
5/6/2016,1.4522
5/13/2016,1.4433
5/20/2016,1.4526
5/27/2016,1.4616
6/3/2016,1.4466
6/10/2016,1.4474
6/17/2016,1.418
6/24/2016,1.4495
7/1/2016,1.3309
7/8/2016,1.2952
7/15/2016,1.3186
7/22/2016,1.3178
7/29/2016,1.3156
8/5/2016,1.3216
8/12/2016,1.2989
8/19/2016,1.3023
8/26/2016,1.3179
9/2/2016,1.3175
9/9/2016,1.3332
9/16/2016,1.3201
9/23/2016,1.3011
9/30/2016,1.2997
10/7/2016,1.2682
10/14/2016,1.2201
10/21/2016,1.2248
10/28/2016,1.2192
